Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,M,Municipal Court,57,29.75,R,A
Hispanic or Latino,F,Municipal Court,39,27.18,R,A
Hispanic or Latino,M,Police Department,52,59.75,R,A
Hispanic or Latino,M,Fire Department,30,38.28,R,A
Hispanic or Latino,M,Police Department,34,53.87,R,A
Hispanic or Latino,M,Seattle City Light,37,47.98,R,A
Hispanic or Latino,M,Construction & Inspections,65,48.04,R,A
Hispanic or Latino,F,Human Services Department,29,33.45,R,A
Hispanic or Latino,F,Seattle Public Utilities,65,49.32,R,A
Hispanic or Latino,F,Finance & Admin Services,48,45.734,R,A
Hispanic or Latino,F,Seattle City Light,23,22.59,T,A
Hispanic or Latino,M,Police Department,41,55.91,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,59,27.93,R,A
Hispanic or Latino,M,Seattle Public Utilities,47,54.57,R,A
Hispanic or Latino,M,Seattle Center,36,31.26,T,A
Hispanic or Latino,F,Police Department,43,31.49,R,A
Hispanic or Latino,F,Finance & Admin Services,37,43.813,R,A
Hispanic or Latino,M,Fire Department,41,40.13,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,41,57.54,R,A
Hispanic or Latino,F,Sustainability & Environment,55,52.968,R,A
Hispanic or Latino,M,Parks & Recreation,58,26.09,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,44,33.23,R,A
Hispanic or Latino,F,Information Technology,23,48,T,A
Hispanic or Latino,F,Law Department,22,22.59,R,A
Hispanic or Latino,F,Sustainability & Environment,37,51.5,R,A
Hispanic or Latino,F,Police Department,48,25.17,R,A
Hispanic or Latino,M,Fire Department,61,50.66,R,A
Hispanic or Latino,M,Parks & Recreation,18,16.92,T,A
Hispanic or Latino,M,Seattle Public Utilities,51,54.9,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,53,30.5,R,A
Hispanic or Latino,F,Office of Labor Standards,55,36.08,R,A
Hispanic or Latino,F,Finance & Admin Services,63,40.48,R,A
Hispanic or Latino,M,Seattle Public Utilities,52,34.23,R,A
Hispanic or Latino,M,Parks & Recreation,28,16.11,T,A
Hispanic or Latino,M,Seattle City Light,48,39.15,R,A
Hispanic or Latino,M,Immigrant & Refugee Affairs,34,39.358,R,A
Hispanic or Latino,M,Seattle City Light,29,27.9,R,A
Hispanic or Latino,M,Seattle Public Library,24,20.3,R,A
Hispanic or Latino,M,Seattle City Light,51,54.39,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,26.09,R,L
Hispanic or Latino,M,Human Services Department,22,16,T,A
Hispanic or Latino,M,Information Technology,47,53.04,R,A
Hispanic or Latino,M,Seattle Public Utilities,51,58.53,R,A
Hispanic or Latino,F,Employees' Retirement System,54,47.9,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,52,50.18,R,A
Hispanic or Latino,M,Information Technology,64,50.551,R,A
Hispanic or Latino,M,Parks & Recreation,34,42.92,R,A
Hispanic or Latino,F,Seattle Public Library,19,17.01,R,A
Hispanic or Latino,F,Seattle Public Utilities,43,30.47,R,A
Hispanic or Latino,F,Human Services Department,60,31.04,R,A
Hispanic or Latino,M,Police Department,31,41.83,R,A
Hispanic or Latino,F,Arts & Culture,68,42.06,R,A
Hispanic or Latino,F,Parks & Recreation,67,58.6837,R,A
Hispanic or Latino,M,Fire Department,59,57.04,R,A
Hispanic or Latino,M,Information Technology,48,48.726,R,A
Hispanic or Latino,M,Construction & Inspections,52,47.04,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,40,30.5,R,A
Hispanic or Latino,F,Human Services Department,28,38.98,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,47,26.09,T,A
Hispanic or Latino,F,Education & Early Learning,24,25.17,R,A
Hispanic or Latino,M,Parks & Recreation,63,26.09,R,L
Hispanic or Latino,M,Parks & Recreation,48,33.78,R,A
Hispanic or Latino,M,Immigrant & Refugee Affairs,20,16.56,T,A
Hispanic or Latino,F,Legislative Department,32,37.59,R,A
Hispanic or Latino,F,Law Department,50,34.07,R,A
Hispanic or Latino,M,Police Department,31,46.43,R,A
Hispanic or Latino,M,Construction & Inspections,68,48.79,R,A
Hispanic or Latino,M,Seattle Public Utilities,52,37.53,R,A
Hispanic or Latino,F,Municipal Court,23,25.17,R,A
Hispanic or Latino,F,Human Services Department,53,43.73,R,A
Hispanic or Latino,M,Human Services Department,18,16,T,A
Hispanic or Latino,F,Seattle Public Library,52,33.32,R,A
Hispanic or Latino,M,Seattle City Light,42,25.17,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,62,35.43,R,A
Hispanic or Latino,F,Finance & Admin Services,46,44.125,R,A
Hispanic or Latino,F,Education & Early Learning,41,62,R,A
Hispanic or Latino,M,Education & Early Learning,34,54.787,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,39,44.51,R,A
Hispanic or Latino,M,Police Department,31,44.75,R,A
Hispanic or Latino,F,Seattle Public Utilities,31,24.28,R,A
Hispanic or Latino,F,Seattle City Light,39,54.9,R,A
Hispanic or Latino,M,Parks & Recreation,27,16.11,T,A
